line_name,planning_year,case,start_region,dest_region,value
PJMW_to_SRCA,2040,full-base-200-tx-0,PJMW,SRCA,0.0
SRCA_to_SRSE,2035,full-base-200-tx-0,SRCA,SRSE,0.0
MISW_to_PJMC,2035,full-base-200-tx-0,MISW,PJMC,0.0
MISW_to_PJMC,2030,full-base-200-tx-0,MISW,PJMC,0.0
SRCA_to_SRSE,2040,full-base-200-tx-0,SRCA,SRSE,0.0
MISW_to_PJMC,2027,full-base-200-tx-0,MISW,PJMC,0.0
RMRG_to_SRSG,2030,full-base-200-tx-0,RMRG,SRSG,0.0
MISW_to_NWPP,2050,full-base-200-tx-0,MISW,NWPP,0.0
MISS_to_SRSE,2050,full-base-200-tx-0,MISS,SRSE,0.0
SPPC_to_SPPS,2045,full-base-200-tx-0,SPPC,SPPS,0.0
RMRG_to_SPPN,2050,full-base-200-tx-0,RMRG,SPPN,0.0
MISS_to_SPPS,2045,full-base-200-tx-0,MISS,SPPS,0.0
RMRG_to_SPPC,2027,full-base-200-tx-0,RMRG,SPPC,0.0
MISS_to_SPPS,2040,full-base-200-tx-0,MISS,SPPS,0.0
SRSG_to_TRE,2050,full-base-200-tx-0,SRSG,TRE,0.0
MISS_to_SPPS,2035,full-base-200-tx-0,MISS,SPPS,0.0
RMRG_to_SPPC,2030,full-base-200-tx-0,RMRG,SPPC,0.0
MISS_to_SPPS,2030,full-base-200-tx-0,MISS,SPPS,0.0
RMRG_to_SPPN,2030,full-base-200-tx-0,RMRG,SPPN,0.0
MISS_to_SPPS,2027,full-base-200-tx-0,MISS,SPPS,0.0
RMRG_to_SPPC,2035,full-base-200-tx-0,RMRG,SPPC,0.0
